x,y
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2,0.1
0.2000648,0.1
0.20278639999999998,0.1
0.20337039999999998,0.1
0.20403439999999998,0.1
0.20477839999999997,0.1
0.20551279999999997,0.1
0.20640879999999995,0.1
0.20738479999999995,0.1
0.20832799999999996,0.1
0.20921759999999995,0.1
0.21015839999999994,0.1
0.21115039999999993,0.1
0.21233119999999994,0.1
0.21343199999999993,0.1
0.2145839999999999,0.1
0.21578719999999993,0.1
0.21715045294632546,0.1000011565958859
0.2185785043274666,0.10000357974053506
0.2200284537890212,0.1000078327345926
0.2213684924055891,0.10001323605944588
0.22275972360062404,0.10002037480020373
0.22419577081972525,0.1000291809158867
0.22578941866069735,0.10004057148854097
0.22721565473404143,0.10005203143989248
0.2286596009943668,0.10006487601403467
0.23012565838637244,0.10007912873636307
0.23164290065326928,0.10009513284354521
0.2333452500367463,0.10011453309855031
0.23487060200728313,0.10013303751732844
0.23644713572811976,0.10015332173336235
0.2380681493309912,0.10017520266794216
0.23991646569678507,0.10020130394984152
0.24157583700817023,0.10022561449530287
0.24324829098255654,0.10025096741383434
0.24508396487275527,0.10027997450786458
0.24671679789013354,0.10030670640693115
0.24840080807440756,0.10033523539253252
0.2503319201413714,0.10036890805948323
0.25206437210034294,0.10039983782021733
0.25380794305637205,0.10043166197135835
0.2557816067343098,0.1004685350840604
0.25776595432476956,0.10050642897334484
0.2597047113465934,0.10054439057254011
0.26169975723959654,0.10058424699785962
0.2634922077575108,0.10062063641685488
0.2652925233565027,0.10065774661644518
0.26710050340766534,0.10069555694448001
0.26914288158198446,0.10073893177728772
0.27119580276898136,0.10078316311299976
0.27302657245749534,0.10082309273355505
0.2750956863052025,0.10086880665053466
0.277171064389215,0.10091522663218112
0.2792559984323957,0.10096239992471474
0.2811144705960489,0.10100486196746822
0.28297761142413835,0.10104783093125295
0.2848468237930644,0.10109132398168157
0.2867204524498852,0.10113529199720249
0.28883648789328636,0.10118539466748504
0.2909575505253465,0.10123604713212257
0.29285022535516375,0.10128156595406246
0.29474529751679546,0.10132745624101766
0.2966456287856199,0.10137377315256635
0.2987876388993836,0.10142634634634973
0.3009356139383631,0.10147941303269027
0.3030893812996653,0.10153295161245854
0.3052487728750276,0.1015869409244862
0.30789277085238037,0.10165349236666185
0.3100634617304506,0.10170840504147832
0.3124793166995008,0.10176984462652651
0.314415293423829,0.10181927850402646
0.316840525541474,0.10188149629870198
0.31902669128171385,0.10193780551024509
0.32097549078018917,0.10198816212224172
0.32292681147930646,0.10203873776060937
0.3248805946037852,0.10208952387506083
0.32708280905001313,0.10214693932295073
0.3290427689871912,0.10219816723875177
0.3312502612770352,0.10225601908337309
0.33346035617606773,0.10231408456535342
0.33542845458842907,0.10236589640059822
0.3373986138980137,0.10241786062880835
0.33937078552792854,0.10246997005252031
0.34134621956541006,0.10252224801668776
0.3433235364279738,0.10257465248681794
0.3453026914793727,0.10262717681570768
0.3472849205926803,0.10267984458906819
0.34951685952512396,0.10273921886359905
0.35175074122246086,0.1027987099105804
0.3537393580241827,0.10285171173404375
0.35597830764881816,0.10291143333462323
0.3581674913310025,0.10297004194537662
0.3601556738859977,0.10302331315700526
0.36240128383233533,0.10308350669362297
0.36464986540068517,0.10314379446017383
0.36665116112078716,0.1031974557819118
0.3689038764517809,0.10325785823029206
0.3709050694954778,0.10331151260006453
0.3729050720006313,0.10336512741693402
0.3751524094145408,0.10342535375699939
0.3771501621929974,0.10347887693551554
0.37914680988108135,0.10353235256609011
0.38114238020396335,0.1035857780979645
0.3831381019765954,0.1036391869027111
0.3851315685701338,0.10369250767084828
0.38737444088682843,0.10375246520735218
0.38936712405945645,0.10380570448526323
0.3913588270132004,0.10385888449702575
0.39334839014074235,0.10391196777211394
0.395586967481363,0.10397164592978843
0.39757594078104586,0.10402462849823546
0.3998125401062981,0.10408415155317607
0.401798633748046,0.10413695769158163
0.40378508685252956,0.1041897243142501
0.4057707202716304,0.10424241759980256
0.40775555552230336,0.10429503571709721
0.40974077779889256,0.10434761127599607
0.41172405052442584,0.10440007647805492
0.41395570659762304,0.10445903965893175
0.41618657853590224,0.10451790672939705
0.41841668922983344,0.10457667572427046
0.42039720498903826,0.10462880019374461
0.4226258276705423,0.1046873714410695
0.4248537557061547,0.10474583900965304
0.4270810097820891,0.10480420117539159
