left_speed,right_speed,time
0.0,0.0,1760610500.8311787
0.0,0.0,1760610500.8404071
0.0,0.0,1760610500.8489923
0.0,0.0,1760610500.8572724
0.0,0.0,1760610500.8663564
0.0,0.0,1760610500.8747299
0.0,0.0,1760610500.883448
0.0,0.0,1760610500.8927987
0.0,0.0,1760610500.9002395
0.0,0.0,1760610500.90918
0.0,0.0,1760610500.9167528
0.0,0.0,1760610500.925465
0.0,0.0,1760610500.934407
0.0,0.0,1760610500.9441564
0.0,0.0,1760610500.9526794
0.0,0.0,1760610500.960881
0.0,0.0,1760610500.9689395
0.0,0.0,1760610500.9774947
0.0,0.0,1760610500.9865909
0.0,0.0,1760610500.9949946
0.0,0.0,1760610501.0026112
0.0,0.0,1760610501.0107648
0.0,0.0,1760610501.018844
0.0,0.0,1760610501.0277863
0.0,0.0,1760610501.0365467
0.0,0.0,1760610501.045088
0.0,0.0,1760610501.0540452
0.0,0.0,1760610501.0620844
0.0,0.0,1760610501.0710976
0.0,0.0,1760610501.079631
0.0,0.0,1760610501.0885134
0.0,0.0,1760610501.097042
0.0,0.0,1760610501.1051571
0.0,0.0,1760610501.113893
0.0,0.0,1760610501.1224873
0.0,0.0,1760610501.1311767
0.0,0.0,1760610501.1397252
0.0,0.0,1760610501.149045
0.0,0.0,1760610501.1572766
0.0,0.0,1760610501.1662254
0.0,0.0,1760610501.1754458
0.0,0.0,1760610501.1851492
0.0,0.0,1760610501.1926968
0.0,0.0,1760610501.2020571
0.0,0.0,1760610501.21062
0.0,0.0,1760610501.2184224
0.0,0.0,1760610501.2269793
0.0,0.0,1760610501.23479
0.0,0.0,1760610501.2434876
0.0,0.0,1760610501.2527475
0.0,0.0,1760610501.2613213
0.0,0.0,1760610501.27089
0.0,0.0,1760610501.2785726
0.0,0.0,1760610501.2871757
0.0,0.0,1760610501.2957337
0.0,0.0,1760610501.3044608
0.0,0.0,1760610501.3139856
0.0,0.0,1760610501.3227458
0.0,0.0,1760610501.3314004
0.0,0.0,1760610501.3402789
0.0,0.0,1760610501.3496594
0.0,0.0,1760610501.3585846
0.0,0.0,1760610501.366917
0.0,0.0,1760610501.3745568
0.0,0.0,1760610501.3831081
0.0,0.0,1760610501.3910267
0.0,0.0,1760610501.399096
0.0,0.0,1760610501.4079056
0.0,0.0,1760610501.415977
0.0,0.0,1760610501.4250312
0.0,0.0,1760610501.4330258
0.0,0.0,1760610501.4412942
0.0,0.0,1760610501.4495614
0.0,0.0,1760610501.4582794
0.0,0.0,1760610501.4672217
0.0,0.0,1760610501.4737647
0.0,0.0,1760610501.4826357
0.0,0.0,1760610501.4912012
0.0,0.0,1760610501.4975026
0.0,0.0,1760610501.5070312
0.0,0.0,1760610501.5156667
0.0,0.0,1760610501.5247324
0.0,0.0,1760610501.532704
0.0,0.0,1760610501.5411222
0.0,0.0,1760610501.5490901
0.0,0.0,1760610501.5570767
0.0,0.0,1760610501.5646327
0.0,0.0,1760610501.5735443
0.0,0.0,1760610501.5821934
0.0,0.0,1760610501.5901718
0.0,0.0,1760610501.599039
0.0,0.0,1760610501.6069453
0.0,0.0,1760610501.6156492
0.0,0.0,1760610501.6236918
0.0,0.0,1760610501.6313546
0.0,0.0,1760610501.6408925
0.0,0.0,1760610501.6494935
0.0,0.0,1760610501.6591089
0.0,0.0,1760610501.6682372
0.0,0.0,1760610501.6772363
0.0,0.0,1760610501.6850507
0.0,0.0,1760610501.6933663
0.0,0.0,1760610501.7023654
0.0,0.0,1760610501.7114897
0.0,0.0,1760610501.7207723
0.0,0.0,1760610501.7291155
0.0,0.0,1760610501.7368257
0.0,0.0,1760610501.745375
0.0,0.0,1760610501.7539096
0.0,0.0,1760610501.7625453
0.0,0.0,1760610501.7712512
0.0,0.0,1760610501.7798219
0.0,0.0,1760610501.7890508
0.0,0.0,1760610501.796584
0.0,0.0,1760610501.8054214
0.0,0.0,1760610501.813575
0.0,0.0,1760610501.8227186
0.0,0.0,1760610501.8313437
0.0,0.0,1760610501.8404725
0.0,0.0,1760610501.8494296
0.0,0.0,1760610501.8584006
0.0,0.0,1760610501.8672307
0.0,0.0,1760610501.8759508
0.0,0.0,1760610501.8843844
0.0,0.0,1760610501.8939497
